id	rate
26115	0.569
26117	0.423
26119	0.014
26121	0.718
26123	0.205
26125	4.906
26127	0.104
26129	0.072
26131	0.048
26133	0.168
26135	0.161
26137	0.082
26139	1.467
26141	0.088
26143	0.109
26145	0.768
26147	0.711
26149	0.394
26151	0.158
26153	0.01
26155	0.406
26157	0.24
26159	0.4
26161	3.433
26163	8.904
26165	0.132
27001	0.111
27003	1.62
27005	0.242
27007	0.322
27009	0.19
27011	0.039
27013	0.46
27015	0.195
27017	0.253
27019	0.354
27021	0.209
27023	0.096
27025	0.28
27027	0.514
27029	0.033
27031	0.028
27033	0.137
27035	0.345
27037	2.084
27039	0.091
27041	0.288
27043	0.076
27045	0.177
27047	0.24
27049	0.226
27051	0.049
27053	15.452
27055	0.065
27057	0.096
27059	0.297
27061	0.3
27063	0.072
27065	0.13
27067	0.262
27069	0.021
27071	0.184
27073	0.031
27075	0.06
27077	0.006
27079	0.143
27081	0.037
27083	0.193
27085	0.452
27087	0.012
27089	0.069
27091	0.202
27093	0.151
27095	0.281
27097	0.166
27099	0.421
27101	0.047
27103	0.27
27105	0.338
27107	0.039
27109	1.164
27111	0.315
27113	0.213
27115	0.18
27117	0.062
27119	0.218
27121	0.072
27123	4.077
27125	0.009
27127	0.071
27129	0.109
27131	0.676
27133	0.091
27135	0.1
27137	1.279
27139	0.827
27141	0.447
27143	0.047
27145	0.916
27147	0.286
27149	0.165
27151	0.068
27153	0.155
27155	0.034
27157	0.168
27159	0.053
27161	0.076
27163	1.155
27165	0.043
27167	0.023
27169	0.801
27171	0.523
27173	0.067
28001	0.114
28003	0.151
28005	0
28007	0.101
28009	0
28011	0.069
28013	0.085
28015	0.057
28017	0.062
28019	0.041
28021	0.013
28023	0.255
28025	0.059
28027	0.094
28029	0.063
28031	0.15
28033	0.779
28035	0.794
28037	0.081
28039	0.091
28041	0.039
28043	0.14
28045	0.199
28047	1.041
28049	1.03
28051	0.06
28053	0.03
28055	0.025
28057	0.075
28059	0.889
28061	0.075
28063	0.003
28065	0.133
28067	0.261
28069	0.105
28071	0.348
28073	0.271
28075	0.409
28077	0.105
28079	0.104
28081	0.104
28083	0.105
28085	0.219
28087	0.216
28089	0.449
28091	0.176
28093	0.139
28095	0.095
28097	0.025
28099	0.169
28101	0.073
28103	0.015
28105	0.353
28107	0.167
28109	0.246
28111	0.071
28113	0.595
28115	0.175
28117	0.075
28119	0
28121	0.785
28123	0.172
28125	0
28127	0.224
28129	0.126
28131	0.152
28133	0.04
28135	0.02
28137	0.048
28139	0.132
28141	0.076
28143	0.071
28145	0.17
28147	0.188
28149	0.322
28151	0.155
28153	0.2
28155	0.117
28157	0.003
28159	0.039
28161	0.044
28163	0.066
29001	0.135
29003	0.059
29005	0.016
29007	0.192
29009	0.139
29011	0.037
29013	0.066
29015	0.062
29017	0.051
29019	1.505
29021	0.539
29023	0.183
29025	0.045
29027	0.176
29029	0.357
29031	0.543
29033	0.052
29035	0.035
29037	0.365
29039	0.063
29041	0.028
29043	0.558
29045	0.068
29047	0.891
29049	0.103
29051	0.52
29053	0.1
29055	0.056
29057	0.061
29059	0.072
29061	0.077
29063	0.102
29065	0.21
29067	0.077
29069	0.128
29071	0.224
29073	0.069
29075	0.07
29077	1.915
29079	0.112
29081	0.042
29083	0.069
29085	0.063
29087	0.007
29089	0.049
29091	0.234
29093	0.056
29095	4.47
29097	0.777
29099	0.682
29101	0.213
29103	0.052
29105	0.258
29107	0.397
29109	0.093
29111	0.04
29113	0.156
29115	0.094
29117	0.094
29119	0.224
29121	0.093
29123	0.005
29125	0.02
29127	0.244
29129	0.009
29131	0.321
29133	0.033
29135	0.09
29137	0.057
29139	0.023
29141	0.144
29143	0.045
29145	0.445
29147	0.135
29149	0.077
29151	0.032
29153	0.013
29155	0.038
29157	0.079
29159	0.169
29161	0.341
29163	0.177
29165	0.573
29167	0.159
29169	0.391
29171	0
29173	0.037
29175	0.236
29177	0.11
29179	0.081
29181	0.029
29183	1.591
29185	0.065
29186	0.035
29187	0.357
29189	5.305
29195	0.151
29197	0.028
29199	0.046
29201	0.149
29203	0.081
29205	0.041
29207	0.159
29209	0.06
29211	0.046
29213	0.083
29215	0.075
29217	0.146
29219	0.059
29221	0.137
29223	0.112
29225	0.2
29227	0.012
29229	0.058
29510	2.81
30001	0.072
30003	0.068
30005	0.038
30007	0.129
30009	0.128
30011	0.003
30013	0.764
30015	0.043
30017	0.107
30019	0.004
30021	0.096
30023	0.043
30025	0.002
30027	0.065
30029	0.89
30031	2.075
30033	0.009
30035	0.017
30037	0.001
30039	0.017
30041	0.135
30043	0.071
30045	0.004
30047	0.143
30049	0.9
30051	0.019
30053	0.181
30055	0.003
30057	0.083
30059	0.047
30061	0.007
30063	2.775
30065	0.067
30067	0.237
30069	0.008
30071	0.029
30073	0.04
30075	0.02
30077	0.028
30079	0.008
30081	0.331
30083	0.048
30085	0.039
30087	0.084
30089	0.041
30091	0.014
30093	0.294
30095	0.117
30097	0.042
30099	0.028
30101	0.034
30103	0.003
30105	0.017
30107	0.016
30109	0
30111	1.295
31001	0.11
31003	0.037
31005	0.003
31007	0
31009	0
31011	0.021
31013	0.062
31015	0.004
31017	0
31019	0.393
31021	0.006
31023	0.026
31025	0.185
31027	0.067
31029	0.035
31031	0.041
31033	0.048
31035	0.064
31037	0.092
31039	0.038
31041	0.096
31043	0.434
31045	0.113
31047	0.21
31049	0.018
31051	0.012
31053	0.191
31055	2.627
31057	0.027
31059	0.036
31061	0.025
31063	0.028
31065	0.026
31067	0.07
31069	0.027
31071	0.042
31073	0.011
31075	0.005
31077	0.013
31079	0.333
31081	0.104
31083	0.029
31085	0
31087	0.034
31089	0.051
31091	0.004
31093	0.033
31095	0.048
31097	0.009
31099	0.041
31101	0.165
31103	0.003
31105	0
31107	0.014
31109	3.035
31111	0.221
31113	0.002
31115	0.001
31117	0
31119	0.128
31121	0.034
31123	0.036
31125	0.027
31127	0.019
31129	0.005
31131	0.105
31133	0.025
31135	0.026
31137	0.068
31139	0.015
31141	0.153
31143	0.042
31145	0.056
31147	0.008
31149	0.004
31151	0.149
31153	0.793
31155	0.114
31157	0.224
31159	0.116
31161	0.021
31163	0.005
31165	0.005
31167	0.012
31169	0.004
31171	0.017
31173	0.038
31175	0.041
31177	0.066
31179	0.076
31181	0.034
31183	0.001
31185	0.155
32001	0.137
32003	17.297
32005	0.411
32007	0.327
32009	0.05
32011	0.008
32013	0.089
32015	0.037
32017	0.009
32019	0.373
32021	0.062
32023	0.232
32027	0
32029	0
32031	4.979
32033	0.109
32510	0.557
33001	0.237
33003	0.409
33005	0.454
33007	0.241
33009	1.186
33011	1.814
33013	1.157
33015	1.738
33017	0.553
33019	0.402
34001	2.223
34003	6.543
34005	2.322
34007	2.828
34009	1.291
34011	1.481
34013	6.768
34015	1.486
34017	4.287
34019	0.56
34021	4.194
34023	6.552
34025	5.009
34027	2.665
34029	3.12
34031	7.725
34033	0.215
34035	2.419
34037	0.941
34039	16.879
34041	0.35
35001	7.129
35003	0.009
35005	0.38
35006	0.019
35007	0.113
35009	0.328
35011	0.025
35013	1.39
35015	0.312
35017	0.073
35019	0
35021	0.001
35023	0.006
35025	0.45
35027	0.044
35028	0.29
35029	0.167
35031	0.326
35033	0.134
35035	0.337
35037	0.052
35039	0.261
35041	0.15
35043	1.114
35045	0.48
35047	0.153
35049	1.73
35051	0.018
35053	0.192
35055	0.238
35057	0.045
35059	0.041
35061	0.458
36001	2.235
36003	0.37
36005	8.67
36007	1.245
36009	0.484
36011	0.323
36013	1.071
36015	0.554
36017	0.212
36019	1.161
36021	0.252
36023	0.292
36025	0.166
36027	1.432
36029	6.143
36031	0.624
36033	0.315
36035	0.306
36037	0.501
36039	0.84
36041	0.03
36043	0.266
36045	0.766
36047	23.903
36049	0.09
36051	0.314
36053	0.375
36055	4.343
36057	0.477
36059	6.846
36061	41.144
36063	0.867
36065	1.086
36067	2.792
36069	0.565
36071	3.299
36073	0.221
36075	0.595
36077	0.251
36079	0.487
36081	15.223
36083	0.713
36085	1.841
36087	2.171
36089	0.869
36091	1.163
36093	0.869
36095	0.242
36097	0.105
36099	0.193
36101	0.621
36103	8.519
36105	0.334
36107	0.216
36109	0.854
36111	0.936
36113	0.465
36115	0.283
36117	0.338
36119	8.468
36121	0.289
36123	0.3
37001	0.571
37003	0.05
37005	0.055
37007	0.041
37009	0.041
37011	0.072
37013	0.297
37015	0.091
37017	0.098
37019	0.63
37021	1.427
37023	0.327
37025	0.682
37027	0.364
37029	0.028
37031	0.662
37033	0.075
37035	0.631
37037	0.555
37039	0.085
37041	0.187
37043	0.029
37045	0.252
37047	0.162
37049	0.907
37051	1.863
37053	0.159
37055	0.423
37057	0.535
37059	0.099
37061	0.239
37063	2.569
37065	0.334
37067	2.561
37069	0.247
37071	0.63
37073	0.112
37075	0
37077	0.186
37079	0.089
37081	2.643
37083	0.232
37085	0.557
37087	0.307
37089	0.417
37091	0.086
37093	0.431
37095	0.12
37097	0.812
37099	0.245
37101	1.394
37103	0.072
37105	0.44
37107	0.217
37109	0.328
